experiment,attack_prob,run_id,final_budget,avg_efficiency,total_attacks,attacks_detected
Attack_Impact,0.0,0,517.1517155291513,0.5634321400895714,0,0
Attack_Impact,0.0,1,529.7735697925091,0.6227945149689913,0,0
Attack_Impact,0.0,2,560.9565030708909,0.7714399016276002,0,0
Attack_Impact,0.01,0,526.4064180096611,0.6098896459117532,1,1
Attack_Impact,0.01,1,574.3004340305924,0.8545035921782255,1,1
Attack_Impact,0.01,2,540.974587123841,0.676707792468369,0,0
Attack_Impact,0.02,0,564.2519442187622,0.795983756929636,3,0
Attack_Impact,0.02,1,521.2828495074064,0.577100642286241,4,2
Attack_Impact,0.02,2,762.5217447193392,5.931679506148538,2,0
Attack_Impact,0.05,0,524.3618771377951,0.6027101480960846,13,7
Attack_Impact,0.05,1,545.9328064317815,0.7111927076801657,14,5
Attack_Impact,0.05,2,530.1199710126966,0.6253984361886978,14,9
Attack_Impact,0.1,0,397.78125891648233,0.5536080675199628,13,7
Attack_Impact,0.1,1,733.9818904451095,2.0333868143707514,20,11
Attack_Impact,0.1,2,982.1787397786975,2.897940617762506,22,8
