experiment,config_label,agent_type,run_id,final_budget,avg_efficiency,avg_load,max_motor_temp
Static_vs_Intelligent,Statico + Defense,static,0,-1.1792124610110477e-08,2.0294039543076687,0.27382464408874513,91.29634094238281
Static_vs_Intelligent,Statico + Defense,static,1,-4.3458754817038425e-08,1.9579757685007444,0.4512735038250685,91.00591278076172
Static_vs_Intelligent,Statico + Defense,static,2,5100.930060457833,24.934846102633898,27.777412357330324,88.88324737548828
Static_vs_Intelligent,Statico,static,0,1.7651515804573137e-09,2.0350598920443854,2.307566500604153,90.49520111083984
Static_vs_Intelligent,Statico,static,1,1575.5245912111966,8.628623690220106,9.875920861363412,93.47795867919922
Static_vs_Intelligent,Statico,static,2,-1.4169373230288329e-08,1.9514471457923042,2.4736616814136507,93.11222839355469
Static_vs_Intelligent,AI Full + Defense,intelligent,0,517.2855462543666,0.5574061695113778,0.506541898327996,38.433265686035156
Static_vs_Intelligent,AI Full + Defense,intelligent,1,541.1927302873228,0.6733633369579911,0.6067776558792685,38.77415084838867
Static_vs_Intelligent,AI Full + Defense,intelligent,2,555.5130762420595,0.745334909632802,0.710187286380824,38.936676025390625
Static_vs_Intelligent,AI Pragmatic + Defense,intelligent,0,3322.721780367296,15.357193219090837,16.83505356788635,84.66402435302734
Static_vs_Intelligent,AI Pragmatic + Defense,intelligent,1,2959.4475961120766,15.536720546216381,21.01771236419678,86.5261001586914
Static_vs_Intelligent,AI Pragmatic + Defense,intelligent,2,1662.3140044224842,12.151835926377972,23.82536654472351,87.58180236816406
