experiment,learning_rate,run_id,seed,n_steps,attack_prob,lr_schedule,final_budget,avg_efficiency,second_half_efficiency,survival,overheating_steps
LR_Comparison,0.001,0,42,2000,0.02,constant,-4246.382300619036,0.34236376035585997,0.0704489830955863,False,0
LR_Comparison,0.001,1,43,2000,0.02,constant,25476.013263225555,15.23825240945816,14.665066928863526,True,0
LR_Comparison,0.001,2,44,2000,0.02,constant,-3864.985412603244,0.5418400526642799,0.06742188752442599,False,0
LR_Comparison,0.001,3,45,2000,0.02,constant,-3582.6759037934244,0.6809070437885821,0.06687882906198502,False,0
LR_Comparison,0.001,4,46,2000,0.02,constant,-4379.360761689255,0.2785144866369665,0.06977954899519682,False,0
LR_Comparison,0.001,5,47,2000,0.02,constant,23856.73917365074,14.429688832521439,14.103672895908355,True,0
LR_Comparison,0.001,6,48,2000,0.02,constant,-4617.891459187638,1.7826891874602193,0.07152556471526622,False,201
LR_Comparison,0.001,7,49,2000,0.02,constant,-3490.0476848632097,0.725295028552413,0.07460871800780296,False,0
LR_Comparison,0.001,8,50,2000,0.02,constant,16667.455716371536,10.835090718984604,8.485824903011322,True,0
LR_Comparison,0.001,9,51,2000,0.02,constant,-4656.4859912330285,0.1371211638711393,0.07088094752281904,False,0
LR_Comparison,0.005,0,42,2000,0.02,constant,-4551.03597420454,0.1887827866524458,0.0704489830955863,False,0
LR_Comparison,0.005,1,43,2000,0.02,constant,10096.023241698742,7.548257397770882,5.771076649904251,True,0
LR_Comparison,0.005,2,44,2000,0.02,constant,-4637.587672680616,0.14916423308849336,0.06742188752442599,False,0
LR_Comparison,0.005,3,45,2000,0.02,constant,-3698.7069077047186,3.5587314540693327,0.06687882906198502,False,189
LR_Comparison,0.005,4,46,2000,0.02,constant,9171.009463905386,7.0879951803646986,4.5988580175936224,True,0
LR_Comparison,0.005,5,47,2000,0.02,constant,19676.72883605957,12.339683667182923,12.220662702560425,True,0
LR_Comparison,0.005,6,48,2000,0.02,constant,-3964.991132455645,0.48986527282372117,0.07152556471526622,False,0
LR_Comparison,0.005,7,49,2000,0.02,constant,-625.6634591545658,9.40327292097522,3.288035682457951,False,652
LR_Comparison,0.005,8,50,2000,0.02,constant,5554.0714502856135,5.277318168554455,2.042276316829026,True,0
LR_Comparison,0.005,9,51,2000,0.02,constant,-4695.824178349227,0.11730075978860259,0.07088094752281904,False,0
LR_Comparison,0.01,0,42,2000,0.02,constant,18505.635786294937,11.7514064078331,11.103101700782776,True,0
LR_Comparison,0.01,1,43,2000,0.02,constant,10405.521178722382,7.703006365776062,6.213575442314148,True,0
LR_Comparison,0.01,2,44,2000,0.02,constant,-4650.47169229202,0.1426183282546699,0.06742188752442599,False,0
LR_Comparison,0.01,3,45,2000,0.02,constant,-3739.547059223084,3.383448342427603,0.06687882906198502,False,180
LR_Comparison,0.01,4,46,2000,0.02,constant,9251.541238759673,7.128237999171018,5.12185808506608,True,0
LR_Comparison,0.01,5,47,2000,0.02,constant,-5492.411734123965,0.3693276281290782,0.06782445683330297,False,76
LR_Comparison,0.01,6,48,2000,0.02,constant,-5323.850265896957,0.5755030120489857,0.07152556471526622,False,110
LR_Comparison,0.01,7,49,2000,0.02,constant,8728.659336618031,6.863329688958824,6.639995806269348,True,0
LR_Comparison,0.01,8,50,2000,0.02,constant,4645.879370018258,4.821686293020845,1.4948346999883653,True,0
LR_Comparison,0.01,9,51,2000,0.02,constant,-4695.824178349227,0.11730075978860259,0.07088094752281904,False,0
LR_Comparison,0.02,0,42,2000,0.02,constant,19061.167264628057,12.526918066318713,12.632125017754003,True,97
LR_Comparison,0.02,1,43,2000,0.02,constant,16653.517401456833,10.827004477262497,12.190071534156798,True,0
LR_Comparison,0.02,2,44,2000,0.02,constant,4176.965682894457,4.58648983438313,3.304984003446996,True,0
LR_Comparison,0.02,3,45,2000,0.02,constant,-3747.351129187627,3.333675863738362,0.06687882906198502,False,179
LR_Comparison,0.02,4,46,2000,0.02,constant,13487.236030340195,9.246686052560806,7.454175842761994,True,0
LR_Comparison,0.02,5,47,2000,0.02,constant,-5512.118078851659,0.373500117095325,0.06782445683330297,False,69
LR_Comparison,0.02,6,48,2000,0.02,constant,12116.192565083504,8.556653786718845,8.309401550650596,True,0
LR_Comparison,0.02,7,49,2000,0.02,constant,9985.197358435835,7.491598700463772,7.894994581989944,True,0
