experiment,config_label,agent_type,run_id,seed,n_steps,attack_prob,learning_rate,lr_schedule,final_budget,avg_efficiency,second_half_efficiency,survival,max_motor_temp,overheating_steps,final_lr,final_divergence
Short_Term,Static (Fixed Model),intelligent,0,42,500,0.02,,fixed,-287.47462792834267,0.3934662307351828,0.07706462779641152,False,40.05281066894531,0,,
Short_Term,Static (Fixed Model),intelligent,1,43,500,0.02,,fixed,-172.59143665595911,0.6364566463679076,0.41168933352828024,False,37.80623245239258,0,,
Short_Term,Static (Fixed Model),intelligent,2,44,500,0.02,,fixed,-701.3882255463465,2.224422917619027,0.07319597232445368,False,138.76856994628906,80,,
Short_Term,Static (Fixed Model),intelligent,3,45,500,0.02,,fixed,-317.97190085891634,0.3320565066337585,0.10246911972761154,False,38.62150573730469,0,,
Short_Term,Static (Fixed Model),intelligent,4,46,500,0.02,,fixed,-222.80228790687397,0.5257021218240261,0.0782284509241581,False,39.876102447509766,0,,
Short_Term,Static (Fixed Model),intelligent,5,47,500,0.02,,fixed,1072.643499569036,3.1252327355891465,1.3928976441919803,True,71.17964935302734,0,,
Short_Term,Static (Fixed Model),intelligent,6,48,500,0.02,,fixed,-279.6817696224898,0.40999795135855677,0.08208078595995903,False,38.15144729614258,0,,
Short_Term,Static (Fixed Model),intelligent,7,49,500,0.02,,fixed,-108.04610201716423,0.7659300214350223,0.09448217162489891,False,39.588233947753906,0,,
Short_Term,Static (Fixed Model),intelligent,8,50,500,0.02,,fixed,-321.2978648506105,0.3245675997883081,0.08358999952673912,False,37.99416732788086,0,,
Short_Term,Static (Fixed Model),intelligent,9,51,500,0.02,,fixed,-156.5553167881444,0.6653765262514353,0.860586940318346,False,39.168373107910156,0,,
Short_Term,Learning (LR=0.01),intelligent_adaptive,0,42,500,0.02,0.01,constant,5547.265841007233,12.095428577423096,12.261805709838868,True,57.16047286987305,0,0.01,4.377009154069628
Short_Term,Learning (LR=0.01),intelligent_adaptive,1,43,500,0.02,0.01,constant,4145.178384780884,9.292277772903443,8.135036758422851,True,52.82981491088867,0,0.01,4.295675422159435
Short_Term,Learning (LR=0.01),intelligent_adaptive,2,44,500,0.02,0.01,constant,-293.6143188942224,0.37961647754907607,0.14711352747678758,False,39.55772399902344,0,0.01,2.8973626677020534
Short_Term,Learning (LR=0.01),intelligent_adaptive,3,45,500,0.02,0.01,constant,5431.291437864304,11.85873951625824,11.442592454910278,True,56.558380126953125,0,0.01,4.305549792126513
Short_Term,Learning (LR=0.01),intelligent_adaptive,4,46,500,0.02,0.01,constant,5737.859322071075,12.475149400711059,12.32186072921753,True,56.75181198120117,0,0.01,3.751245539258959
Short_Term,Learning (LR=0.01),intelligent_adaptive,5,47,500,0.02,0.01,constant,-1147.4444789712036,1.2706001860533287,0.06341024374961853,False,127.73997497558594,76,0.01,3.519109784503976
Short_Term,Learning (LR=0.01),intelligent_adaptive,6,48,500,0.02,0.01,constant,-978.7671400523601,2.09545621598874,0.06377573564648628,False,96.86286163330078,110,0.01,3.21172542908316
Short_Term,Learning (LR=0.01),intelligent_adaptive,7,49,500,0.02,0.01,constant,4312.212343215942,9.623875438690186,10.489611526489258,True,52.32183074951172,0,0.01,3.6118082807028067
Short_Term,Learning (LR=0.01),intelligent_adaptive,8,50,500,0.02,0.01,constant,4802.019858837128,10.602958770751954,10.676333290100098,True,53.74024200439453,0,0.01,3.633920813331052
Short_Term,Learning (LR=0.01),intelligent_adaptive,9,51,500,0.02,0.01,constant,-356.2346198037267,0.2553224505484104,0.06478632315993309,False,38.488563537597656,0,0.01,4.325720071351432
Short_Term,Learning (LR=0.05),intelligent_adaptive,0,42,500,0.02,0.05,constant,5052.265871524811,11.105428638458251,11.26180583190918,True,55.066734313964844,0,0.05,4.670011184273798
Short_Term,Learning (LR=0.05),intelligent_adaptive,1,43,500,0.02,0.05,constant,4145.178384780884,9.292277772903443,8.135036758422851,True,52.48566436767578,0,0.05,4.652253140791719
Short_Term,Learning (LR=0.05),intelligent_adaptive,2,44,500,0.02,0.05,constant,3298.307957921177,7.592494621768593,3.752033499747515,True,58.5091552734375,0,0.05,2.6770104636090597
Short_Term,Learning (LR=0.05),intelligent_adaptive,3,45,500,0.02,0.05,constant,5627.291405200958,12.25073945236206,12.22659232711792,True,58.44955062866211,0,0.05,4.522578985265582
Short_Term,Learning (LR=0.05),intelligent_adaptive,4,46,500,0.02,0.05,constant,6359.358949184418,13.718148656845093,13.821859241485596,True,60.58607864379883,0,0.05,3.8176111890030686
Short_Term,Learning (LR=0.05),intelligent_adaptive,5,47,500,0.02,0.05,constant,-19.91368153907872,8.557290001508681,3.0140928623618466,False,126.94062805175781,222,0.05,3.686150678869156
Short_Term,Learning (LR=0.05),intelligent_adaptive,6,48,500,0.02,0.05,constant,4593.601155281067,10.187469067573547,9.922616706848144,True,53.5035514831543,0,0.05,3.6411504670271926
Short_Term,Learning (LR=0.05),intelligent_adaptive,7,49,500,0.02,0.05,constant,4312.212343215942,9.623875438690186,10.489611526489258,True,53.09838104248047,0,0.05,3.5577093993893216
Short_Term,Learning (LR=0.05),intelligent_adaptive,8,50,500,0.02,0.05,constant,4802.019858837128,10.602958770751954,10.676333290100098,True,53.26740646362305,0,0.05,3.6094587062919548
Short_Term,Learning (LR=0.05),intelligent_adaptive,9,51,500,0.02,0.05,constant,4932.914911746979,10.865727519035339,11.621069488525391,True,57.19013977050781,0,0.05,4.448603913063648
